,,,,,,,,,,,,,,,,,,
Ward * See Note 1,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,180,107,98,80,82,59,114,98,243,120,117,93,133,103,262,228,244,144
2,183,150,173,137,119,118,196,161,622,213,188,195,231,223,318,270,287,144
3,130,101,126,100,88,90,112,97,802,113,132,83,136,176,553,542,542,295
4,166,166,128,135,117,137,145,144,675,155,130,155,160,182,397,347,367,176
5,386,358,303,301,278,274,346,357,666,297,304,301,344,345,567,646,464,271
6,437,408,422,360,326,324,369,344,475,358,400,342,320,387,285,275,372,131
7,281,145,121,185,162,165,265,232,383,225,172,158,190,173,263,235,216,111
8,179,41,43,67,46,51,109,72,197,75,53,51,71,98,393,416,412,140
9,185,135,156,162,130,177,192,134,464,224,142,162,165,352,368,357,358,172
10,329,176,197,197,193,202,298,214,352,470,182,233,229,204,109,60,90,38
11,483,384,416,365,282,327,398,356,829,394,333,306,341,407,265,269,226,94
12,239,191,232,231,143,198,213,234,498,295,265,202,172,323,263,256,283,110
13,448,385,387,400,260,307,440,362,380,386,362,302,304,240,87,82,81,40
14,230,207,167,160,170,167,236,196,198,151,119,165,140,183,584,540,577,259
15,306,268,320,309,235,282,320,290,621,361,298,217,273,300,240,261,267,129
16,397,307,290,317,255,264,348,251,446,289,241,211,269,230,119,118,160,81
17,379,314,326,380,221,268,275,284,469,308,271,215,211,295,129,121,141,86
18,194,159,203,220,164,188,227,180,229,149,194,140,172,253,218,231,208,117
19,180,184,164,177,183,173,245,188,365,184,196,174,194,283,542,532,538,270
20,141,152,141,124,173,151,193,172,210,149,161,132,128,204,468,393,472,221
21,308,209,244,298,195,210,253,167,366,208,198,190,207,227,398,345,342,167
22,301,211,210,210,179,197,234,199,222,189,154,165,176,162,115,72,99,56
23,716,228,174,241,205,197,202,193,271,258,173,145,205,177,99,75,84,53
24,352,139,103,138,114,104,151,161,132,133,106,84,170,129,219,213,272,97
25,253,209,182,178,191,145,200,168,261,168,165,145,184,147,168,176,162,89
26,204,170,127,153,120,162,168,130,135,114,108,100,153,109,,,,
27,139,113,95,115,108,133,152,148,184,150,132,131,115,124,,,,
28,61,73,84,86,66,63,96,87,77,77,108,69,103,82,,,,
29,463,396,334,348,346,342,458,320,373,369,298,299,341,293,,,,
30,458,405,392,504,365,389,469,393,384,403,305,313,355,327,,,,
31,365,372,324,366,339,338,399,348,377,322,238,256,283,237,,,,
32,596,570,506,495,496,517,664,480,492,403,394,435,405,371,,,,
33,482,49,43,88,68,52,59,94,118,79,54,54,58,68,,,,
34,158,91,80,136,106,129,122,139,146,123,132,122,149,117,,,,
35,307,294,281,239,215,213,313,399,228,230,158,232,198,247,,,,
36,383,393,427,278,195,190,320,680,312,234,215,231,295,260,,,,
37,273,317,347,237,166,224,333,327,304,267,250,266,287,290,,,,
38,197,187,204,193,144,166,230,244,156,199,116,174,184,166,,,,
39,77,80,46,35,21,28,70,50,36,39,35,26,35,43,,,,
40,114,138,86,66,39,57,96,107,101,61,69,79,102,82,,,,
41,104,100,80,73,45,65,89,67,81,71,62,55,66,60,,,,
42,64,54,70,58,56,49,97,59,52,70,61,48,57,74,,,,
43,135,112,125,125,85,113,172,150,116,99,95,112,159,126,,,,
44,130,143,125,113,100,82,154,159,132,107,106,125,148,131,,,,
Missing Ward Info,105,70,40,37,249,48,21,5,11,8,13,8,14,5,12,,4,4
Grand Total,12198,9461,9142,9217,7840,8135,10563,9640,14191,9297,8005,7701,8632,9015,7441,7060,7268,3495
,,,,,,,,,,,,,,,,,,
"Note 1: The number of wards were reduced from 44 to 25 effective December 1, 2018.",,,,,,,,,,,,,,,,,,
