Kirkland Lake Gold,[0.01579737 0.95566785 0.02853481]
Cenovus Energy,[0.00414711 0.4937378  0.50211513]
Parkland Fuel,[0.00354063 0.8900126  0.10644677]
Empire,[0.04719323 0.9162524  0.03655446]
Teck Resources,[0.00597417 0.7551988  0.23882706]
Hydro One,[0.00214375 0.22111945 0.77673674]
Telus,[0.00308097 0.21681473 0.7801043 ]
Magna International,[0.00441137 0.96366036 0.03192833]
Brookfield Asset Management,[0.00398741 0.8363571  0.15965539]
Shopify,[0.00211764 0.35694647 0.64093584]
Wheaton Precious Metals,[0.00536748 0.7240436  0.2705889 ]
Industrial Alliance Insurance,[0.00241788 0.31170127 0.68588084]
Canadian Natural Resources,[0.00434812 0.7324767  0.26317522]
Canadian Apartment Properties Real Estate Investment Trust,[0.00266869 0.3527294  0.6446018 ]
Thomson Reuters,[0.21392621 0.7113488  0.07472503]
Agnico Eagle Mines,[0.00658208 0.71632004 0.27709788]
Manulife Financial,[0.00540115 0.6453006  0.3492982 ]
Royal Bank of Canada,[0.00316977 0.5749637  0.4218665 ]
Canadian Utilities,[0.00343543 0.6493855  0.34717906]
Sun Life Financial,[0.00836968 0.53728944 0.4543409 ]
Canadian Tire,[0.01086526 0.83885175 0.15028296]
Metro,[0.00732717 0.69060135 0.30207148]
Suncor Energy,[0.00222659 0.40102807 0.5967454 ]
National Bank of Canada,[0.01395516 0.6607532  0.32529163]
Toronto-Dominion Bank,[0.27213982 0.69895196 0.02890821]
Intact Financial,[0.02351653 0.82111305 0.15537047]
Couche Tard,[0.00619887 0.6767247  0.31707647]
Saputo,[0.00363893 0.67817885 0.3181822 ]
CGI,[0.0022701  0.37266082 0.6250691 ]
Kinross Gold,[0.01812349 0.8024496  0.17942691]
Rogers Communications,[0.00297531 0.6641118  0.33291295]
Lululemon Athletica,[0.02922378 0.7156071  0.25516915]
Barrick Gold,[0.04397808 0.691364   0.26465794]
Dollarama,[0.00265674 0.74828094 0.24906237]
Franco-Nevada,[0.00484475 0.97374535 0.02140983]
Bausch Health Companies,[0.05858103 0.6872795  0.25413945]
Bank of Montreal,[0.02848593 0.6407758  0.33073828]
Enbridge,[0.00219644 0.5270429  0.47076064]
George Weston,[0.00372989 0.76963484 0.22663526]
Nutrien,[0.05000381 0.6179723  0.33202392]
Fairfax Financial Holdings,[0.00699586 0.97500306 0.01800106]
Waste Connections,[0.0058487  0.88309413 0.11105718]
Canadian Pacific Railway,[0.00383781 0.3587287  0.63743365]
Canadian Imperial Bank,[0.00370789 0.7021872  0.29410487]
BCE,[0.0412839  0.6548143  0.30390176]
Pembina Pipeline,[0.00469833 0.8750291  0.12027254]
Shaw Communications,[0.00325325 0.5839441  0.4128027 ]
Power Corp of Canada,[0.00301378 0.450815   0.5461712 ]
Bank of Nova Scotia,[0.00429325 0.60016906 0.39553767]
Canadian National Railway,[0.0095345  0.79457664 0.19588889]
Fortis (Canada),[0.02182176 0.5231008  0.4550774 ]
Restaurant Brands International,[0.01179172 0.6727156  0.3154926 ]
Husky Energy,[0.00187603 0.5660074  0.4321166 ]
Constellation Software,[0.00299818 0.9568675  0.04013428]
Cronos Group,[0.00439514 0.97485787 0.02074699]
E-L Financial,[0.00623416 0.9742098  0.01955607]
Air Canada,[0.01188652 0.8380591  0.15005434]
TC Energy,[0.00356624 0.42555156 0.5708822 ]
Onex,[0.00322278 0.29451737 0.70225984]
Bombardier,[0.00533528 0.76481247 0.22985227]
Emera,[0.00340942 0.5468488  0.4497418 ]
